PlateID,Row,Column,Organism,Species,id,Tissue,Comments,QC,pop,Region,Subregion,lat,lon
2,F,5,Pocillopora,Meandrina,P ver 258,unknown,none,Fail,Moore,Coral Sea,Coral Sea,15.89218,149.15359
2,G,5,Pocillopora,Meandrina,P ver 260,unknown,none,Fail,Moore,Coral Sea,Coral Sea,15.89218,149.15359
2,H,5,Pocillopora,Meandrina,P ver 265,unknown,none,Fail,Moore,Coral Sea,Coral Sea,15.89218,149.15359
2,A,6,Pocillopora,Meandrina,P ver 266,unknown,none,Pass,Moore,Coral Sea,Coral Sea,15.89218,149.15359
2,B,6,Pocillopora,Meandrina,P ver 271,unknown,none,Pass,Moore,Coral Sea,Coral Sea,15.89218,149.15359
2,C,6,Pocillopora,Meandrina,P ver 273,unknown,none,Pass,Moore,Coral Sea,Coral Sea,15.89218,149.15359
2,D,6,Pocillopora,Meandrina,P ver 275,unknown,none,Pass,Moore,Coral Sea,Coral Sea,15.89218,149.15359
2,E,6,Pocillopora,Meandrina,P ver 276,unknown,none,Fail,Moore,Coral Sea,Coral Sea,15.89218,149.15359
2,F,6,Pocillopora,Meandrina,P ver 277,unknown,none,Downshift,Moore,Coral Sea,Coral Sea,15.89218,149.15359
2,G,6,Pocillopora,Meandrina,P ver 172,unknown,none,Fail,Chilcott,Coral Sea,Coral Sea,16.9315,149.98988
2,H,6,Pocillopora,Meandrina,P ver 173,unknown,none,Downshift,Chilcott,Coral Sea,Coral Sea,16.9315,149.98988
2,A,7,Pocillopora,Meandrina,P ver 174,unknown,none,Pass,Chilcott,Coral Sea,Coral Sea,16.9315,149.98988
2,B,7,Pocillopora,Meandrina,P ver 179,unknown,none,Downshift,Chilcott,Coral Sea,Coral Sea,16.9315,149.98988
2,C,7,Pocillopora,Meandrina,P ver 182,unknown,none,Downshift,Chilcott,Coral Sea,Coral Sea,16.9315,149.98988
2,D,7,Pocillopora,Meandrina,P ver 236,unknown,none,Fail,Willis,Coral Sea,Coral Sea,16.28728,149.9593
2,E,7,Pocillopora,Meandrina,P ver 237,unknown,none,Pass,Willis,Coral Sea,Coral Sea,16.28728,149.9593
2,F,7,Pocillopora,Meandrina,P ver 238,unknown,none,Fail,Willis,Coral Sea,Coral Sea,16.28728,149.9593
2,G,7,Pocillopora,Meandrina,P ver 239,unknown,none,Downshift,Willis,Coral Sea,Coral Sea,16.28728,149.9593
2,H,7,Pocillopora,Meandrina,P ver 240,unknown,none,Fail,Willis,Coral Sea,Coral Sea,16.28728,149.9593
2,A,8,Pocillopora,Meandrina,Corb_Pver_1,unknown,none,Pass,Corbett,GBR,PCB,13.92266,144.24052
2,B,8,Pocillopora,Meandrina,Corb_Pver_10,unknown,none,Fail,Corbett,GBR,PCB,13.92266,144.24052
2,C,8,Pocillopora,Meandrina,Corb_Pver_11,unknown,none,Pass,Corbett,GBR,PCB,13.92266,144.24052
2,D,8,Pocillopora,Meandrina,Corb_Pver_12,unknown,none,Pass,Corbett,GBR,PCB,13.92266,144.24052
2,E,8,Pocillopora,Meandrina,Corb_Pver_13,unknown,none,Pass,Corbett,GBR,PCB,13.92266,144.24052
2,F,8,Pocillopora,Meandrina,Corb_Pver_15,unknown,none,Fail,Corbett,GBR,PCB,13.92266,144.24052
2,G,8,Pocillopora,Meandrina,Corb_Pver_18,unknown,none,Pass,Corbett,GBR,PCB,13.92266,144.24052
2,H,8,Pocillopora,Meandrina,Corb_Pver_20,unknown,none,Pass,Corbett,GBR,PCB,13.92266,144.24052
2,A,9,Pocillopora,Meandrina,Corb_Pver_25,unknown,none,Pass,Corbett,GBR,PCB,13.92266,144.24052
2,B,9,Pocillopora,Meandrina,Corb_Pver_26,unknown,none,Pass,Corbett,GBR,PCB,13.92266,144.24052
2,C,9,Pocillopora,Meandrina,Corb_Pver_33,unknown,none,Pass,Corbett,GBR,PCB,13.92266,144.24052
2,D,9,Pocillopora,Meandrina,Corb_Pver_6,unknown,none,Fail,Corbett,GBR,PCB,13.92266,144.24052
2,E,9,Pocillopora,Meandrina,Corb_Pver_9,unknown,none,Fail,Corbett,GBR,PCB,13.92266,144.24052
